투자금액비중,보유,Ticker,설명,,yahoo,google,현재가격,적정가격,"25년 
적정 EPS","25년 
적정 PER",Fwd PER,적정 PER,목표값-최대,목표값-평균,목표값-중앙,목표값-분석가 의견합 ,구매가,투자금액,평가금액,수익,수익률,상승여력,비중,"
주간가격변화차트",,,,
4.53%,5,000660.ks,에스케이하이닉스보통주,000660,.ks,KRX:,"2,360,000.00",,,#VALUE!,Deprecated. Use =FINANCE instead,,Deprecated. Use =FINANCE instead,"2,246,000.00",,,"374,321.00","1,871,605.00","11,800,000.00","9,928,395.00",530.47%,-4.83%,4.53%,,,,,
21.29%,9.629,MU,마아크론테크놀리지,MU,,NASDAQ:,"$1,064.10",,,,,,,"$1,000.00",,,$602.42,"$5,800.70","$10,246.22","$4,445.52",76.64%,-6.02%,21.29%,,,,,
0.00%,0,DELL,델컴퓨터,DELL,,NYSE:,435.31,,,,,,,143.22,,,,$0.00,0,0.00,#DIV/0!,-67.10%,0.00%,,,,,
0.00%,0,VRT,버티브홀딩스,VRT,,NYSE:,$334.49,,,,,,,$414.00,,,$330.87,$0.00,$0.00,$0.00,#DIV/0!,23.77%,0.00%,,,,,
0.00%,0,VST,Vistra Corp.,VST,,NYSE:,157.97,,,,,,,192.20,,,,,0,0.00,,,0.00%,,,,,
,0,373220.ks,LG에너지솔루션보통주,373220,.ks,KRX:,442500,"433,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,0.00%,,,,,
,0,AXON,"Axon Enterprise, Inc.",AXON,,NASDAQ:,490.12,,,,,,,679.69,,,,,0,0.00,,,0.00%,,,,,
,0,CPNG,"Coupang, Inc.",CPNG,,,16.73,,,,,,,29.85,,,,,0,0.00,,,0.00%,,,,,
,0,XYL,Xylem Inc.,XYL,,NYSE:,110.29,,,,,,,150.00,,,,,0,0.00,,,0.00%,,,,,
0.00%,0,035420.ks,NAVER보통주,035420,.ks,KRX:,"280,500.00","283,000.00",8.43,,,,,"274,500.00",,,"216,500.00",0.00,0,$0.00,#DIV/0!,-2.14%,0.00%,,,,,
,0,NTRS,Northern Trust Corporation,NTRS,,NASDAQ:,169.79,,,,,,,118.79,,,,,0,0.00,,,0.00%,,,,,
